Sample Unnamed: 0_level_1	Sequenced_Read-pair Unnamed: 1_level_1	Mapped_Read-pair Count	Mapped_Read-pair Percentage	Nonclonal_Read-pair Count	Nonclonal_Read-pair Percentage	cis<1kb Count	cis<1kb Percentage	cis>1kb Count	cis>1kb Percentage	trans Count	trans Percentage	mCCC/CCC Unnamed: 12_level_1	mCG/CG Unnamed: 13_level_1	mCH/CH Unnamed: 14_level_1	Estimated mCG/CG Unnamed: 15_level_1	id	batch	cell_type
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD002	730250	401875	0.5503252310852448	373610	0.9296671850699845	312908	0.8375	42624	0.1141	18078	0.0484	0.01331	0.76303	0.04153	0.75983	181218_21yr_2_A1_AD002	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD004	876349	502850	0.5738010769681942	466661	0.9280322163667097	407623	0.8735	38036	0.0815	21002	0.045	0.01562	0.7613	0.05708	0.75751	181218_21yr_2_A1_AD004	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD006	870911	486416	0.5585140157834727	451856	0.9289497056017895	381380	0.844	48960	0.1084	21516	0.0476	0.01702	0.75343	0.0601	0.74916	181218_21yr_2_A1_AD006	181218_21yr	L6
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD008	954010	524261	0.5495340719698955	487155	0.9292222766904271	404535	0.8304	48224	0.099	34396	0.0706	0.00902	0.75553	0.01155	0.7533	181218_21yr_2_A1_AD008	181218_21yr	ODC
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD010	825376	463549	0.5616216124529911	430163	0.9279774090764946	359956	0.8368	48100	0.1118	22107	0.0514	0.01744	0.78254	0.06435	0.77868	181218_21yr_2_A1_AD010	181218_21yr	L5
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A1_AD012	801294	460089	0.574182509790414	427209	0.9285355659448498	369203	0.8642	33466	0.0783	24540	0.0574	0.00795	0.779	0.00924	0.77723	181218_21yr_2_A1_AD012	181218_21yr	OPC
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD001	1080104	599532	0.5550687711553702	522044	0.8707525202991667	424411	0.813	67036	0.1284	30597	0.0586	0.01477	0.75237	0.04583	0.74866	181218_21yr_2_A10_AD001	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD004	460169	258063	0.5608004885161756	224327	0.8692722319743629	186200	0.83	26455	0.1179	11672	0.052	0.02223	0.75774	0.05756	0.75223	181218_21yr_2_A10_AD004	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD006	1373031	771293	0.5617447821644231	671231	0.8702672006617459	553157	0.8241	81190	0.121	36884	0.0549	0.01818	0.77259	0.05247	0.76838	181218_21yr_2_A10_AD006	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD007	1351606	755183	0.5587301328937575	655796	0.8683934887305461	526502	0.8028	83672	0.1276	45622	0.0696	0.00808	0.74938	0.01033	0.74734	181218_21yr_2_A10_AD007	181218_21yr	ODC
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD008	1182002	661270	0.5594491379879222	573790	0.8677091052066478	469420	0.8181	71102	0.1239	33268	0.058	0.01263	0.75177	0.03838	0.74859	181218_21yr_2_A10_AD008	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD010	1253291	708955	0.5656746916717665	612728	0.8642692413481815	513492	0.838	62748	0.1024	36488	0.0596	0.0179	0.81676	0.0684	0.81342	181218_21yr_2_A10_AD010	181218_21yr	Sst
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD012	1261245	724822	0.5746877093665386	626277	0.8640424821542393	533968	0.8526	60509	0.0966	31800	0.0508	0.0185	0.79673	0.07016	0.7929	181218_21yr_2_A10_AD012	181218_21yr	L5
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD002	919389	513100	0.5580880345533827	464298	0.9048879360748392	385118	0.8295	49684	0.107	29496	0.0635	0.00919	0.78812	0.01949	0.78615	181218_21yr_2_A11_AD002	181218_21yr	Astro
