,gene,avg_astro,avg_MG,log(astro/MG),|log(astro/MG)|,chrom,start,end
0,AAMP,2.1032373,1.8653366666666666,0.12003617403221986,0.12003617403221986,2,219128850.0,219134980.0
1,ABAT,22.56158,1.520846333333333,2.6969814814893107,2.6969814814893107,16,8768422.0,8878432.0
2,ABCA1,12.985842999999997,9.68949,0.2928179711315581,0.2928179711315581,9,107543283.0,107690518.0
3,ABCA2,0.6087174,0.10000000000000002,1.8061839346133326,1.8061839346133326,9,139901686.0,139923374.0
4,ABCC5,2.0287405,1.9972666666666665,0.015635577996676857,0.015635577996676857,3,183637722.0,183735803.0
5,ABCD2,10.049112,0.10000000000000002,4.610069365386359,4.610069365386359,12,39943835.0,40013553.0
6,ABCD3,8.626991,2.0896399999999997,1.4179039745211839,1.4179039745211839,1,94883933.0,94984222.0
7,ABCE1,3.290031,8.310793333333335,-0.9266580843938169,0.9266580843938169,4,146019084.0,146050331.0
8,ABHD11,1.5995104,1.994146,-0.22051830610001258,0.22051830610001258,7,73150424.0,73153197.0
9,ABHD12,1.5801767999999998,2.2946183333333336,-0.3730297866112218,0.3730297866112218,20,25275379.0,25371619.0
10,ABHD14B,0.9146723999999999,1.534054,-0.5171032150140771,0.5171032150140771,3,52002526.0,52017425.0
11,ABHD3,9.299748999999997,7.805876666666667,0.17511054172618712,0.17511054172618712,18,19230858.0,19284766.0
12,ABHD4,6.5354779999999995,1.1619136666666667,1.7271771305264252,1.7271771305264252,14,23067146.0,23081265.0
13,ABHD5,3.233802,2.11293,0.42558292495932437,0.42558292495932437,3,43731605.0,43775863.0
14,ABHD6,2.4262939999999995,0.4617056666666666,1.6591926663810674,1.6591926663810674,3,58223233.0,58281420.0
15,ABI1,26.02627,22.172733333333337,0.16024310678236345,0.16024310678236345,10,27035522.0,27150016.0
16,ABI2,25.695370000000004,4.363816666666666,1.7729637633288342,1.7729637633288342,2,204192942.0,204301606.0
17,ABR,12.596709,7.481303333333334,0.5210285701328884,0.5210285701328884,17,906758.0,1090616.0
18,ACAA2,54.76339999999999,11.706696666666668,1.54286104487105,1.54286104487105,18,47309869.0,47340273.0
19,ACADL,0.9761970000000002,0.10000000000000002,2.2784942243194837,2.2784942243194837,2,211052663.0,211090215.0
20,ACADM,18.360329999999998,6.860876666666666,0.9843571313394535,0.9843571313394535,1,76190036.0,76253260.0
21,ACADSB,6.459350000000001,1.4917066666666667,1.465607815195379,1.465607815195379,10,124768495.0,124817827.0
22,ACADVL,14.767000999999999,1.968984,2.0148773555384834,2.0148773555384834,17,7120444.0,7128587.0
23,ACAT1,12.831885,4.198063333333334,1.1173097812801343,1.1173097812801343,11,107992243.0,108018503.0
24,ACAT2,7.824332,2.1181799999999997,1.3066811359662542,1.3066811359662542,6,160181360.0,160200144.0
25,ACBD3,4.342681000000001,6.057456666666667,-0.3327981206929127,0.3327981206929127,1,226332380.0,226374431.0
26,ACBD5,21.673669999999998,5.557486666666667,1.3609521920759045,1.3609521920759045,10,27484144.0,27531068.0
27,ACLY,4.450466,3.1749533333333333,0.33771587572270373,0.33771587572270373,17,40023161.0,40075272.0
28,ACO1,11.400098,2.2646166666666665,1.6162164493325613,1.6162164493325613,9,32384601.0,32450834.0
29,ACO2,12.755007,1.2585766666666667,2.315942447576708,2.315942447576708,22,41865117.0,41924993.0
30,ACOT1,3.0957879999999998,0.4707456666666667,1.883479794587033,1.883479794587033,14,74003818.0,74010498.0
31,ACOT11,1.7899628000000003,0.10000000000000002,2.884779930507853,2.884779930507853,1,55007930.0,55104865.0
32,ACOT13,8.379936,4.25819,0.6769960898693531,0.6769960898693531,6,24667263.0,24705293.0
33,ACOX1,12.744000000000002,2.5665033333333334,1.6025161708047346,1.6025161708047346,17,73937596.0,73975515.0
34,ACP2,1.1635407,0.5343236666666668,0.7782211900937622,0.7782211900937622,11,47260853.0,47270457.0
35,ACSBG1,20.56419,0.10000000000000002,5.326136306592199,5.326136306592199,15,78459810.0,78538030.0
36,ACSL3,25.63673,9.99028,0.9424134685220603,0.9424134685220603,2,223725652.0,223809357.0
37,ACSL6,39.492200000000004,0.14516033333333334,5.6060195843764,5.6060195843764,5,131142683.0,131347936.0
38,ACSS1,13.555946,0.9126736666666666,2.698202162260191,2.698202162260191,20,24986868.0,25039616.0
39,ACSS2,1.8039017999999998,1.5220933333333333,0.16986540518883878,0.16986540518883878,20,33459949.0,33515769.0
40,ACTB,214.948,664.4723333333333,-1.1285971035621656,1.1285971035621656,7,5566782.0,5603415.0
41,ACTG1,79.44583,93.7978,-0.16606599581419929,0.16606599581419929,17,79476999.0,79479827.0
42,ACTR10,6.372157000000001,1.7225300000000001,1.3081438904903626,1.3081438904903626,14,58666798.0,58701750.0
43,ACTR1A,7.389727000000001,3.386087,0.7804158150493675,0.7804158150493675,10,104238986.0,104262482.0
44,ACTR1B,2.9743760000000004,1.2603786666666668,0.8586220641841753,0.8586220641841753,2,98272431.0,98280570.0
45,ACTR2,16.59207,52.087700000000005,-1.144003966055078,1.144003966055078,2,65454887.0,65498387.0
46,ACTR3,10.633538,37.39986666666667,-1.2576541707653843,1.2576541707653843,2,114647537.0,114720173.0
47,ACTR3B,1.9957097999999998,0.3388153333333333,1.7732998359932541,1.7732998359932541,7,152456834.0,152552463.0
48,ACYP2,19.21451,1.191047,2.780832970549933,2.780832970549933,2,54342540.0,54532437.0
49,ADAM23,0.9908914,0.10000000000000002,2.2934347560603934,2.2934347560603934,2,207308263.0,207485851.0
50,ADCY2,19.44305,0.10887400000000001,5.185053708426645,5.185053708426645,5,7396321.0,7830194.0
51,ADCYAP1R1,30.492089999999997,0.162,5.237626249465285,5.237626249465285,7,31092076.0,31151089.0
52,ADD1,16.95589,3.531306666666667,1.5689473031087493,1.5689473031087493,4,2845584.0,2931803.0
53,ADD3,113.19065,2.077773333333333,3.9977767577000027,3.9977767577000027,10,111756126.0,111895323.0
54,ADH5,22.64772,5.855983333333334,1.352595254039431,1.352595254039431,4,99992132.0,100009952.0
55,ADHFE1,13.113412,0.8625076666666667,2.721546764485272,2.721546764485272,8,67342420.0,67383836.0
56,ADI1,19.987081,6.29062,1.1560264798262834,1.1560264798262834,2,3501693.0,3523507.0
57,ADIPOR1,17.522103000000005,11.978966666666667,0.38031077845337563,0.38031077845337563,1,202909951.0,202927700.0
58,ADK,7.349776,5.455903333333334,0.2979716336832124,0.2979716336832124,10,75910960.0,76469061.0
59,ADNP,12.098707,13.008333333333333,-0.0724915903447065,0.0724915903447065,20,49505585.0,49547958.0
60,ADORA2B,14.077899000000002,0.21466033333333331,4.1833044659323795,4.1833044659323795,17,15848231.0,15879060.0
61,ADPRH,0.18986700000000004,10.320033333333333,-3.9955184419584047,3.9955184419584047,3,119298115.0,119308792.0
62,ADRBK2,1.9845220000000001,3.933756666666666,-0.684216785035388,0.684216785035388,22,25960816.0,26118985.0
63,AES,2.608415,0.5218996666666667,1.609022676197048,1.609022676197048,19,3052908.0,3062964.0
64,AFF4,12.940402,27.381833333333333,-0.7495254214186122,0.7495254214186122,5,132211071.0,132299326.0
65,AFG3L2,4.020268,2.375436666666667,0.5261672868398592,0.5261672868398592,18,12328943.0,12377253.0
66,AGA,2.8997630000000005,1.4335043333333333,0.7045069802738663,0.7045069802738663,4,178351924.0,178363657.0
67,AGGF1,5.0006020000000015,2.057506666666667,0.888063411444554,0.888063411444554,5,76325076.0,76361059.0
68,AGL,7.506124,1.6001,1.545653093400921,1.545653093400921,1,100315640.0,100389579.0
69,AGMO,0.3088721,0.10000000000000002,1.1277570893652344,1.1277570893652344,7,15239943.0,15601640.0
70,AGPAT1,1.1628798000000002,0.297121,1.3645153305387026,1.3645153305387026,6,32135989.0,32145873.0
71,AGPAT3,4.854901,0.8273156666666667,1.769557666046924,1.769557666046924,21,45285067.0,45406417.0
72,AGPAT5,4.886784,1.279005,1.340451986522982,1.340451986522982,8,6565878.0,6617184.0
73,AGT,83.40271999999999,0.15503866666666669,6.287761653549613,6.287761653549613,1,230838269.0,230850043.0
74,AGTPBP1,4.364507000000001,2.9835733333333336,0.3803835517308714,0.3803835517308714,9,88161455.0,88356944.0
75,AGXT2L1,257.4534,0.6137513333333334,6.0390041602913636,6.0390041602913636,4,109663196.0,109684210.0
76,AHCYL1,257.011,23.026,2.412494873284207,2.412494873284207,1,110527308.0,110566357.0
77,AHCYL2,46.32065,1.8878233333333334,3.200163376082766,3.200163376082766,7,128864864.0,129070052.0
